corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
teop	viv	0001	#	#	##	##				
teop	viv	0001	te	PREP	adp	adp				
teop	viv	0001	=o	=ART3.SG	=ln	=ln				
teop	viv	0001	peho	INDEF3.SG	ln	ln				
teop	viv	0001	vuri	time	np:other	np		other		
teop	viv	0001	a	ART2.SG	ln	ln				
teop	viv	0001	peha	INDEF2.SG	ln	ln				
teop	viv	0001	otei	man	np.h:s	np	h	s	4001	new
teop	viv	0001	na	TAM2	lv	lv				
teop	viv	0001	tei-tei	RED-stay	v:pred	v		pred		
teop	viv	0001	roho	before	rv	rv				
teop	viv	0002	#	#	##	##				
teop	viv	0002	evehe	but	conj_other	conj_other				
teop	viv	0002	a	ART2.SG	ln	ln				
teop	viv	0002	sii	DIM	ln	ln				
teop	viv	0002	otei	man	np.h:s	np	h	s	4001	
teop	viv	0002	bona	ANA	rn	rn				
teop	viv	0002	a	ART2.SG	ln	ln				
teop	viv	0002	sii	DIM	ln	ln				
teop	viv	0002	pii-pii	RED-sore	np.h:pred	np	h	pred		
teop	viv	0003	#	#	##	##				
teop	viv	0003	Evehe	but	conj_other	conj_other				
teop	viv	0003	te	PREP	adp	adp				
teop	viv	0003	=a	=ART2.SG	=ln	=ln				
teop	viv	0003	maamihu	every	np:other	np		other		
teop	viv	0003	nubunubu	morning	rn	rn				
teop	viv	0004	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0004	na	TAM2	lv	lv				
teop	viv	0004	nao	go	v:pred	v		pred		
teop	viv	0004	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0004	ruene	river	np:g	np		g	4003	new
teop	viv	0004	#	#	#cc:g	#cc		g		
teop	viv	0004	tea	COMPL1	conj_other	conj_other				
teop	viv	0004	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0005	#	#	##	##				
teop	viv	0005	#	#	#ac	#ac				
teop	viv	0005	Me	and4	conj_other	conj_other				
teop	viv	0005	be	if_when	conj_other	conj_other				
teop	viv	0005	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0005	nao	go	v:pred	v		pred		
teop	viv	0005	ruene	river	np:g	np		g	4003	
teop	viv	0005	#	#	#cc:g	#cc		g		
teop	viv	0005	tea	COMPL1	conj_other	conj_other				
teop	viv	0005	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0005	%	%	%	%				
teop	viv	0005	o-	3PRON-	-pro.h:s	-pro	h	s	4001	
teop	viv	0005	re=	CONSEC=	=conj_other	=conj_other				
teop	viv	0005	paa	TAM3	lv	lv				
teop	viv	0005	no	go	v:pred	v		pred		
teop	viv	0005	goroho	sleep	rv_v	rv_v				
teop	viv	0005	te	PREP	adp	adp				
teop	viv	0005	=a	=ART2.SG	=ln	=ln				
teop	viv	0005	peha	INDEF2.SG	ln	ln				
teop	viv	0005	vasu	stone	np:l	np		l	4004	new
teop	viv	0006	#	#	##	##				
teop	viv	0006	a	ART2.SG	ln	ln				
teop	viv	0006	vasu	stone	np:s	np		s	4004	
teop	viv	0006	bona	ANA	rn	rn				
teop	viv	0006	he	but	conj_other	conj_other				
teop	viv	0006	na	TAM2	lv	lv				
teop	viv	0006	tei	stay	v:pred	v		pred		
teop	viv	0006	nana	3SG.IPFV	rv-pro_s	rv-pro_s				
teop	viv	0006	te	PREP	adp	adp				
teop	viv	0006	=o	=ART3.SG	=ln	=ln				
teop	viv	0006	varirovana	middle	np:l	np		l		
teop	viv	0006	-n=	-3SG.POSS=	=rn_pro:poss	=rn_pro		poss		
teop	viv	0006	=a	=ART2.SG	=rn	=rn				
teop	viv	0006	ruene	river	rn_np:poss	rn_np		poss	4003	
teop	viv	0007	[PAUSE]	NC	nc	nc				
teop	viv	0008	me	NC	nc	nc				
teop	viv	0009	[PAUSE]	NC	nc	nc				
teop	viv	0010	#	#	##	##				
teop	viv	0010	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0010	paku-paku	RED-do	v:pred	v		pred		
teop	viv	0010	tamuana	always	rv	rv				
teop	viv	0010	vo	like	rv	rv				
teop	viv	0011	teebona	PREP.ANA	other:obl	other		obl		
teop	viv	0011	te	PREP	adp	adp				
teop	viv	0011	=a	=ART2.SG	=ln	=ln				
teop	viv	0011	maamihu	every	pl_np:other	pl_np		other		
teop	viv	0011	bon	day	rn	rn				
teop	viv	0012	#	#	##	##				
teop	viv	0012	Maamihu	every	np:other	np		other		
teop	viv	0012	bon	day	rn	rn				
teop	viv	0012	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0012	toro	must	lv	lv				
teop	viv	0012	gunaha	go.down	v:pred	v		pred		
teop	viv	0012	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0012	ruene	river	np:g	np		g	4003	
teop	viv	0013	te	PREP	adp	adp				
teop	viv	0013	=a	=ART2.SG	=ln	=ln				
teop	viv	0013	nubunubu	morning	np:other	np		other	4007	new
teop	viv	0014	#	#	##	##				
teop	viv	0014	o-	3SG/PL.PRON-	-pro.h:s	-pro	h	s	4001	
teop	viv	0014	re	CONSEC	conj_other	conj_other				
teop	viv	0014	paa	TAM3	lv	lv				
teop	viv	0014	no	thither	v:pred	v		pred		
teop	viv	0014	goroho	sleep	rv_v	rv_v				
teop	viv	0014	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0014	te	PREP	adp	adp				
teop	viv	0014	=a	=ART2.SG	=ln	=ln				
teop	viv	0014	vasu	stone	np:l	np		l	4004	
teop	viv	0014	bona	ANA	rn	rn				
teop	viv	0014	#	#	#ac	#ac				
teop	viv	0014	be	if_when	conj_other	conj_other				
teop	viv	0014	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0014	va-ro-roava	MULT-RED-sun	v:pred	v		pred		
teop	viv	0014	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0015	#	#	##	##				
teop	viv	0015	A	ART2.SG	ln	ln				
teop	viv	0015	vasu	stone	np:a	np		a	4004	
teop	viv	0015	bona	ANA	rn	rn				
teop	viv	0015	me	also	other	other				
teop	viv	0015	na	TAM2	lv	lv				
teop	viv	0015	tii	be	v:pred	v		pred		
teop	viv	0015	va-totobin	ADVR-exact	rv	rv				
teop	viv	0015	nao	thither	rv	rv				
teop	viv	0015	=na	=3SG.IPFV	=rv-pro_a	=rv-pro_a				
teop	viv	0015	bono	OBJ.ART3.SG	ln	ln				
teop	viv	0015	hum	place	np:p	np		p	4008	new
teop	viv	0015	vai	DEM6	rn	rn				
teop	viv	0016	#	#	#rc_rn	#rc_rn				
teop	viv	0016	to	REL	rel_pro:other	rel_pro		other	4008	
teop	viv	0016	nana	warm	v:pred	v		pred		
teop	viv	0016	maa	hither	rv	rv				
teop	viv	0016	=na	=3SG.IPFV	=rv-pro_a	=rv-pro_a				
teop	viv	0016	ZERO	4SG1.ZERO	0.h:p	0	h	p		
teop	viv	0016	a	ART2.SG	ln	ln				
teop	viv	0016	roava	sun	np:a	np		a	4009	unused
teop	viv	0017	[PAUSE]	NC	nc	nc				
teop	viv	0018	#	#	##	##				
teop	viv	0018	me=	and4=	=conj_other	=conj_other				
teop	viv	0018	erau	so	other	other				
teop	viv	0019	te	PREP	adp	adp				
teop	viv	0019	=a	=ART2.SG	=ln	=ln				
teop	viv	0019	peha	INDEF2.SG	ln	ln				
teop	viv	0019	bon	night	np:other	np		other		
teop	viv	0020	me	and4	conj_other	conj_other				
teop	viv	0020	=a	=ART2.SG	=ln	=ln				
teop	viv	0020	peha	INDEF2.SG	ln	ln				
teop	viv	0020	bua	two2.SG	ln_num	ln_num				
teop	viv	0020	otei	man	pl_np.h:s	pl_np	h	s	4011	new
teop	viv	0020	paa	TAM3	lv	lv				
teop	viv	0020	kao	go	v:pred	v		pred		
teop	viv	0020	gunaha	go.down	rv_v	rv_v				
teop	viv	0020	nao	thither	rv	rv				
teop	viv	0020	roho	before	rv	rv				
teop	viv	0020	ruene	river	np:g	np		g	4003	
teop	viv	0021	#	#	##	##				
teop	viv	0021	ZERO	3PL.ZERO	pl_0.h:s	pl_0	h	s	4011	
teop	viv	0021	A	ART2.SG	ln	ln				
teop	viv	0021	bua	two2.SG	ln_num	ln_num				
teop	viv	0021	roosuu	giant	pl_np.h:pred	pl_np	h	pred		
teop	viv	0021	#	#	##	##				
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	meha	other2.SG	np.h:s	np	h	s	4012	bridging
teop	viv	0021	a	ART2.SG	nc	nc				
teop	viv	0021	mata	eye	ap_other:pred	ap_other		pred		
teop	viv	0021	kehoo	blind	other	other				
teop	viv	0021	#	#	##	##				
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	meha	other2.SG	np.h:s	np	h	s	4013	bridging
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	ihu	nose	ap_other:pred	ap_other		pred		
teop	viv	0021	govaa	eaten.away.by.sores	other	other				
teop	viv	0022	[PAUSE]	NC	nc	nc				
teop	viv	0023	#	#	##	##				
teop	viv	0023	me=	and4=	=conj_other	=conj_other				
teop	viv	0023	ori	3PL.PRON	pl_pro.h:a	pl_pro	h	a	4011	
teop	viv	0023	paa	TAM3	lv	lv				
teop	viv	0023	no	thither	v:pred	v		pred		
teop	viv	0023	tara	see	rv_v	rv_v				
teop	viv	0023	bona	OBJ.ART2.SG	ln	ln				
teop	viv	0023	sii	DIM	ln	ln				
teop	viv	0023	otei	man	np.h:p	np	h	p	4001	
teop	viv	0023	bona	ANA	rn	rn				
teop	viv	0023	#	#	##	##				
teop	viv	0023	eve	3SG.PRON	pro.h:s	pro	h	s	4001	
teop	viv	0023	he	but	conj_other	conj_other				
teop	viv	0023	goroho	sleep	v:pred	v		pred		
teop	viv	0023	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0023	te	PREP	adp	adp				
teop	viv	0023	=a	=ART2.SG	=ln	=ln				
teop	viv	0023	vasu	stone	np:l	np		l	4004	
teop	viv	0024	#	#	##	##				
teop	viv	0024	me	and4	conj_other	conj_other				
teop	viv	0024	=a	=ART2.SG	=ln	=ln				
teop	viv	0024	peha	INDEF2.SG	np.h:s_ds	np	h	s_ds	4037	bridging
teop	viv	0024	paa	TAM3	lv	lv				
teop	viv	0024	sue	say	v:pred	v		pred		
teop	viv	0025	#	#	##ds	##ds				
teop	viv	0025	Eh	Eh	other	other				
teop	viv	0025	e-ara	H-1PL.IN.PRON	pl_pro.1:s	pl_pro	1	s	4011	
teop	viv	0025	kahi	TAM1	lv	lv				
teop	viv	0026	nomaa	come	v:pred	v		pred		
teop	viv	0026	vahaa	back	rv	rv				
teop	viv	0026	#	#	##ds	##ds				
teop	viv	0026	e-ara	H-1PL.IN.PRON	pl_pro.1:a	pl_pro	1	a	4011	
teop	viv	0026	paa	TAM3	lv	lv				
teop	viv	0026	ma	come	v:pred	v		pred		
teop	viv	0026	dee	carry	rv_v	rv_v				
teop	viv	0026	a	ART2.SG	ln	ln				
teop	viv	0026	otei	man	np.h:p	np	h	p	4001	
teop	viv	0026	#	#	#ac	#ac				
teop	viv	0026	be	if_when	conj_other	conj_other				
teop	viv	0026	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0026	peana	busy	v:pred	v		pred		
teop	viv	0026	goroho	sleep	rv_v	rv_v				
teop	viv	0026	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0026	=i	=DEM1	=dem_other	=dem_other			4004	
teop	viv	0027	[PAUSE]	NC	nc	nc				
teop	viv	0028	#	#	##	##				
teop	viv	0028	Me	and4	conj_other	conj_other				
teop	viv	0029	erau	so	other	other				
teop	viv	0029	me=	and4=	=conj_other	=conj_other				
teop	viv	0029	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s	4011	
teop	viv	0029	paa	TAM3	lv	lv				
teop	viv	0029	nao	go	v:pred	v		pred		
teop	viv	0029	vahaa	back	rv	rv				
teop	viv	0029	a	ART2.SG	ln	ln				
teop	viv	0029	bua	two2.SG	ln_num	ln_num				
teop	viv	0029	otei	man	pl_np.h:dt_s	pl_np	h	dt_s	4011	
teop	viv	0029	bari	ANA.PL	rn	rn				
teop	viv	0030	#	#	##	##				
teop	viv	0030	Meha	other2.SG	ln	ln				
teop	viv	0030	nubunubu	morning	np:other	np		other	4014	new
teop	viv	0030	me=	and4=	=conj_other	=conj_other				
teop	viv	0030	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s	4011	
teop	viv	0030	paa	TAM3	lv	lv				
teop	viv	0030	kao	go	v:pred	v		pred		
teop	viv	0030	gunaha	go.down	rv_v	rv_v				
teop	viv	0030	bana	again	rv	rv				
teop	viv	0030	vo	GOAL	rv	rv				
teop	viv	0030	maa	hither	rv	rv				
teop	viv	0030	ruene	river	np:g	np		g	4003	
teop	viv	0031	#	#	##	##				
teop	viv	0031	nubunubu	morning	np:other	np		other	4014	
teop	viv	0031	me=	and4=	=conj_other	=conj_other				
teop	viv	0031	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s	4011	
teop	viv	0031	paa	TAM3	lv	lv				
teop	viv	0031	kao	go	v:pred	v		pred		
teop	viv	0031	gunaha	go.down	rv_v	rv_v				
teop	viv	0031	bana	again	rv	rv				
teop	viv	0031	maa	hither	rv	rv				
teop	viv	0031	ruene	river	np:g	np		g	4003	
teop	viv	0032	#	#	##	##				
teop	viv	0032	me	and4	conj_other	conj_other				
teop	viv	0032	=a	=ART2.SG	=ln	=ln				
teop	viv	0032	sii	DIM	ln	ln				
teop	viv	0032	otei	man	np.h:s	np	h	s	4001	
teop	viv	0032	vai	DEM6	rn	rn				
teop	viv	0032	paa	TAM3	lv	lv				
teop	viv	0032	nao	go	v:pred	v		pred		
teop	viv	0032	bana	again	rv	rv				
teop	viv	0032	#	#	#cc:g	#cc		g		
teop	viv	0032	tea	COMPL1	conj_other	conj_other				
teop	viv	0032	goroho	sleep	vother:pred	vother		pred		
teop	viv	0032	te	PREP	adp	adp				
teop	viv	0032	=a	=ART2.SG	=ln	=ln				
teop	viv	0032	vasu	stone	np:l	np		l	4004	
teop	viv	0033	#	#	##	##				
teop	viv	0033	Evehee	but	conj_other	conj_other				
teop	viv	0033	a	ART2.SG	ln	ln				
teop	viv	0033	maamihu	every	np:dt	np		dt		
teop	viv	0033	vuri	time	rn	rn				
teop	viv	0033	vai	DEM6	rn	rn				
teop	viv	0033	#	#	#rc_rn	#rc_rn				
teop	viv	0033	to	REL	rel_pro.h:other	rel_pro	h	other		
teop	viv	0033	nomaa	come	v:pred	v		pred		
teop	viv	0033	na=	3SG.IPFV=	=rv-pro_h_s	=rv-pro_h_s				
teop	viv	0033	=e	=3SG.PRON	=pro.h:s	=pro	h	s	4001	
teop	viv	0033	#	#	#cc:g	#cc		g		
teop	viv	0033	tea	COMPL1	conj_other	conj_other				
teop	viv	0033	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0033	%	%	%	%				
teop	viv	0033	a=	ART2.SG=	=ln	=ln				
teop	viv	0033	maa	PLM	pl_np.h:s	pl_np	h	s		
teop	viv	0033	vahara	little.PL	rn	rn				
teop	viv	0033	beiko	child	rn_np.h	rn_np	h		4015	new
teop	viv	0033	mee	also	other	other				
teop	viv	0033	na	TAM2	lv	lv				
teop	viv	0033	nomaa	come	v:pred	v		pred		
teop	viv	0033	rori	3PL.IPFV	rv-pl_pro_h_s	rv-pl_pro_h_s				
teop	viv	0033	#	#	#cc:g	#cc		g		
teop	viv	0033	tea	COMPL1	conj_other	conj_other				
teop	viv	0033	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0034	#	#	##	##				
teop	viv	0034	Me	and4	conj_other	conj_other				
teop	viv	0034	#	#	#ac	#ac				
teop	viv	0034	be=	if_when=	=conj_other	=conj_other				
teop	viv	0034	ori	3PL.PRON	pl_pro.h:a	pl_pro	h	a	4015	
teop	viv	0034	tara	see	v:pred	v		pred		
teop	viv	0034	#	#	#cc:p	#cc		p		
teop	viv	0034	be	COMPL2	conj_other	conj_other				
teop	viv	0034	=a	=ART2.SG	=ln	=ln				
teop	viv	0034	sahata	poor.man	np.h:s	np	h	s	4001	
teop	viv	0034	vai	DEM6	rn	rn				
teop	viv	0034	goroho	sleep	v:pred	v		pred		
teop	viv	0034	nana	3SG.IPFV	rv-pro_h_s	rv-pro_h_s				
teop	viv	0034	te	PREP	adp	adp				
teop	viv	0034	=a	=ART2.SG	=ln	=ln				
teop	viv	0034	vasu	stone	np:l	np		l	4004	
teop	viv	0035	#	#	##	##				
teop	viv	0035	ZERO	3SG.ZERO	0.h:s	0	h	s	4001	
teop	viv	0035	a	ART2.SG	other	other				
teop	viv	0035	pii-pii	RED-sore	ap_other:pred	ap_other		pred		
teop	viv	0035	#	#	##	##				
teop	viv	0035	ZERO	ZERO	0.h:s	0	h	s		
teop	viv	0035	a	ART2.SG	other	other				
teop	viv	0035	pii-pii-ana	RED-full.of.sores	ap_other:pred	ap_other		pred		
teop	viv	0036	eve	NC	nc	nc				
teop	viv	0036	repaa	NC	nc	nc				
teop	viv	0037	#	#	#	#				
teop	viv	0037	eori	3PL.PRON	pl_pro.h:a	pl_pro	h	a	4015	
teop	viv	0037	re=	CONSEC=	=conj_other	=conj_other				
teop	viv	0037	paa	TAM3	lv	lv				
teop	viv	0037	kao	go	v:pred	v		pred		
teop	viv	0037	geve	turning.away.from	rv_v	rv_v				
teop	viv	0037	bari	4SG2.PRON	pro.h:p	pro	h	p	4001	
teop	viv	0037	#	#	##neg	##neg				
teop	viv	0037	ei	DEM2	other	other				
teop	viv	0037	kou	EMPH23	other	other				
teop	viv	0038	ZERO	3PL.ZERO	pl_0.h:a	pl_0	h	a	4015	
teop	viv	0038	sa	NEG	lv	lv				
teop	viv	0038	rake	want	v:pred	v		pred		
teop	viv	0038	bata	CONT	rv	rv				
teop	viv	0038	haa	NEG	rv	rv				
teop	viv	0038	=ri	=3PL.IPFV	=rv-pl_pro_h_a	=rv-pl_pro_h_a				
teop	viv	0038	#	#	#cc:p	#cc		p		
teop	viv	0038	tea	COMPL1	conj_other	conj_other				
teop	viv	0038	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0039	rihina	near	rv	rv				
teop	viv	0039	bona	OBJ.ART2.SG	rn	rn				
teop	viv	0039	otei	man	rn_np.h:poss	rn_np	h	poss		
teop	viv	0039	vai	DEM6	rn	rn				
teop	viv	0039	a	ART2.SG	rn	rn				
teop	viv	0039	pii-pii	RED-sore	rn_adj	rn_adj				
teop	viv	0040	[PAUSE]	NC	nc	nc				
teop	viv	0041	#	#	##	##				
teop	viv	0041	Me	and4	conj_other	conj_other				
teop	viv	0042	te	PREP	adp	adp				
teop	viv	0042	=o	=ART3.SG	=ln	=ln				
teop	viv	0042	peho	INDEF3.SG	ln	ln				
teop	viv	0042	bon	day	np:other	np		other		
teop	viv	0042	bana	again	other	other				
teop	viv	0042	kou	EMPH23	other	other				
teop	viv	0043	a	ART2.SG	ln	ln				
teop	viv	0043	bua	two2.SG	ln_num	ln_num				
teop	viv	0043	roosuu	giant	pl_np.h:s	pl_np	h	s	4011	
teop	viv	0043	vai	DEM6	rn	rn				
teop	viv	0043	kao	go	v:pred	v		pred		
teop	viv	0043	gunaha	go.down	rv_v	rv_v				
teop	viv	0043	vai	now	rv	rv				
teop	viv	0043	bana	again	rv	rv				
teop	viv	0043	maa	hither	rv	rv				
teop	viv	0043	=i	=DEM1	=dem_other	=dem_other			4003	
teop	viv	0044	#	#	##	##				
teop	viv	0044	ZERO	3PL.ZERO	pl_0.h:s	pl_0	h	s	4011	
teop	viv	0044	Kao	go	v:pred	v		pred		
teop	viv	0044	gunaha	go.down	rv_v	rv_v				
teop	viv	0044	taneo	begin	rv	rv				
teop	viv	0044	bana	again	rv	rv				
teop	viv	0044	maa	hither	rv	rv				
teop	viv	0044	te	PREP	adp	adp				
teop	viv	0044	=o	=ART3.SG	=ln	=ln				
teop	viv	0044	hopo	cave	np:l	np		l	4018	bridging
teop	viv	0044	te=	PREP=	=rn_adp	=rn_adp				
teop	viv	0044	ori	3PL.PRON	rn_pl_pro.h:poss	rn_pl_pro	h	poss	4011	
teop	viv	0044	#	#	##	##				
teop	viv	0044	me=	and4=	=conj_other	=conj_other				
teop	viv	0044	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s	4011	
teop	viv	0044	paa	TAM3	lv	lv				
teop	viv	0044	gunaha	go.down	v:pred	v		pred		
teop	viv	0044	maa	hither	rv	rv				
teop	viv	0044	ruene	river	np:g	np		g	4003	
teop	viv	0045	#	#	##	##				
teop	viv	0045	ZERO	3PL.ZERO	pl_0.h:s	pl_0	h	s	4011	
teop	viv	0045	Sun	Stand	v:pred	v		pred		
teop	viv	0045	rori	3PL.IPFV	rv-pl_pro_h_s	rv-pl_pro_h_s				
teop	viv	0045	rau	DEM5	dem_other:l	dem_other		l	4003	
teop	viv	0045	#	#	##	##				
teop	viv	0045	e-ori	H-3PL.PRON	pl_pro.h:a	pl_pro	h	a	4011	
teop	viv	0045	tara	see	v:pred	v		pred		
teop	viv	0045	bana	again	rv	rv				
teop	viv	0045	nao	thither	rv	rv				
teop	viv	0045	bona	OBJ.ART2.SG	ln	ln				
teop	viv	0045	sii	DIM	ln	ln				
teop	viv	0045	otei	man	np.h:p	np	h	p	4001	
teop	viv	0045	vai	DEM6	rn	rn				
teop	viv	0045	#	#	#cc:p	#cc		p		
teop	viv	0045	goroho	sleep	nc	nc				
teop	viv	0045	nana	3SG.IPFV	nc	nc				
teop	viv	0045	te	PREP	nc	nc				
teop	viv	0045	=a	=ART2.SG	nc	nc				
teop	viv	0045	vasu	stone	nc_np:l	nc_np		l	4004	
teop	viv	0046	#	#	##	##				
teop	viv	0046	me=	and4=	=conj_other	=conj_other				
teop	viv	0046	ori	3PL.PRON	pl_pro.h:a	pl_pro	h	a	4011	
teop	viv	0046	paa	TAM3	lv	lv				
teop	viv	0046	paku	do	v:pred	v		pred		
teop	viv	0046	bono	OBJ.ART3.SG	ln	ln				
teop	viv	0046	peho	INDEF3.SG	ln	ln				
teop	viv	0046	vakokona	plan	np:p	np		p	4019	bridging
teop	viv	0046	te=	PREP=	=rn_adp	=rn_adp				
teop	viv	0046	ori	3PL.PRON	rn_pro.h:poss	rn_pro	h	poss	4011	
teop	viv	0047	#	#	##ds	##ds				
teop	viv	0047	E-ara	H-1PL.IN.PRON	pl_pro.1:a	pl_pro	1	a	4011	
teop	viv	0047	kahi	TAM1	lv	lv				
teop	viv	0047	gono	get	v:pred	v		pred		
teop	viv	0047	rara	1PL.IN.IPFV	rv-pl_pro_1_a	rv-pl_pro_1_a				
teop	viv	0047	e	ART1.SG	ln	ln				
teop	viv	0047	ta	piece	np:p	np		p		
teop	viv	0047	naono	wood	rn_np	rn_np			4020	new
teop	viv	0048	[PAUSE]	NC	nc	nc				
teop	viv	0049	eara	NC	nc	nc				
teop	viv	0049	kahi	NC	nc	nc				
teop	viv	0050	#	#	##	##				
teop	viv	0050	a-	1PL.IN-	-pl_pro.1:s	-pl_pro	1	s	4011	
teop	viv	0050	re	CONSEC	conj_other	conj_other				
teop	viv	0050	paa	TAM3	lv	lv				
teop	viv	0050	nao	go	v:pred	v		pred		
teop	viv	0050	#	#	##	##				
teop	viv	0050	a-	1PL.IN-	-pl_pro.1:a	-pl_pro	1	a	4011	
teop	viv	0050	re	CONSEC	conj_other	conj_other				
teop	viv	0050	paa	TAM3	lv	lv				
teop	viv	0051	kis	tie	v:pred	v		pred		
teop	viv	0051	a	ART2.SG	ln	ln				
teop	viv	0051	moo	foot	np:p	np		p	4021	bridging
teop	viv	0051	-n=	-3SG.POSS=	=rn_pro:poss	=rn_pro		poss	4001	
teop	viv	0052	a	ART2.SG	rn	rn				
teop	viv	0052	otei	man	rn_np.h:poss	rn_np	h	poss	4001	
teop	viv	0052	vai	DEM6	rn	rn				
teop	viv	0052	ae	and1	conj_other	conj_other				
teop	viv	0052	kuri-	hand	np:p	np		p	4022	bridging
teop	viv	0052	-na	-3SG.POSS	-rn_pro:poss	-rn_pro		poss		
teop	viv	0052	=e	=3SG.PRON	=rn_pro.h:poss	=rn_pro	h	poss	4001	
teop	viv	0052	#	#	##	##				
teop	viv	0052	a-re	1PL.IN-	-pl_pro.1:a	-pl_pro	1	a	4011	
teop	viv	0052	re	CONSEC	conj_other	conj_other				
teop	viv	0052	paa	TAM3	lv	lv				
teop	viv	0052	dee	carry	v:pred	v		pred		
teop	viv	0052	eve	3SG	pro.h:p	pro	h	p	4001	
teop	viv	0053	[PAUSE]	NC	nc	nc				
teop	viv	0054	#	#	##	##				
teop	viv	0054	m=	and4=	=conj_other	=conj_other				
teop	viv	0054	erau	so	other	other				
teop	viv	0055	me=	and4=	=conj_other	=conj_other				
teop	viv	0055	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s	4011	
teop	viv	0055	paa	TAM3	lv	lv				
teop	viv	0055	paku	do	v:pred	v		pred		
teop	viv	0055	vo	like	rv	rv				
teop	viv	0055	teebona	PREP.ANA	other:obl	other		obl		
teop	viv	0056	[PAUSE]	NC	nc	nc				
teop	viv	0057	#	#	##	##				
teop	viv	0057	ZERO	3PL.ZERO	pl_0.h:s	pl_0	h	s	4011	
teop	viv	0057	Nao	go	v:pred	v		pred		
teop	viv	0057	vai	now	rv	rv				
teop	viv	0058	#	#	##	##				
teop	viv	0058	ZERO	3PL.ZERO	pl_0.h:a	pl_0	h	a	4011	
teop	viv	0058	kis	tie	v:pred	v		pred		
teop	viv	0058	bona	OBJ.ART2.SG	ln	ln				
teop	viv	0058	bua	two2.SG	ln_num	ln_num				
teop	viv	0058	kuri-	hand-	np:p	np		p	4022	
teop	viv	0058	-n=	-3SG.POSS=	=rn_pro:poss	=rn_pro		poss	4001	
teop	viv	0058	a	ART2.SG	rn	rn				
teop	viv	0059	sahata	poor.man	rn_np.h:poss	rn_np	h	poss	4001	
teop	viv	0059	vai	DEM6	rn	rn				
teop	viv	0059	a	ART2.SG	rn	rn				
teop	viv	0059	pii-pii	RED.sore	rn_adj	rn_adj				
teop	viv	0059	a	ART2.SG	rn	rn				
teop	viv	0059	pii-pii-ana	RED-sore-full.of	rn_adj	rn_adj				
teop	viv	0060	#	#	##	##				
teop	viv	0060	me=	and4=	=conj_other	=conj_other				
teop	viv	0060	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s	4011	
teop	viv	0060	paa	TAM3	lv	lv				
teop	viv	0060	nao	go	v:pred	v		pred		
teop	viv	0060	#	#	##	##				
teop	viv	0060	me=	and4=	=conj_other	=conj_other				
teop	viv	0060	ori	3PL.PRON	pl_pro.h:a	pl_pro	h	a	4011	
teop	viv	0060	paa	TAM3	lv	lv				
teop	viv	0060	nao	go	v:pred	v		pred		
teop	viv	0060	kisi	just	rn	rn				
teop	viv	0060	pete	also	rv	rv				
teop	viv	0060	bona	OBJ.ART2.SG	ln	ln				
teop	viv	0061	moo-	foot-	np:p	np		p	4021	
teop	viv	0061	-na=	-3SG.POSS	-rn_pro.h:poss	-rn_pro	h	poss	4001	
teop	viv	0061	=e	=3SG.PRON	=rn_pro.h:poss	=rn_pro	h	poss	4001	
teop	viv	0062	#	#	##	##				
teop	viv	0062	me=	and4=	=conj_other	=conj_other				
teop	viv	0062	ori	PRON	pl_pro.h:a	pl_pro	h	a	4011	
teop	viv	0062	paa	TAM3	lv	lv				
teop	viv	0063	hogo	push	v:pred	v		pred		
teop	viv	0063	ni	APPL	rv	rv				
teop	viv	0063	nao	thither	rv	rv				
teop	viv	0063	bona	OBJ.ART2.SG	ln	ln				
teop	viv	0063	ta	piece	np:p	np		p	4017	bridging
